barid,region,dsid,nproj,cost,prepass_co,prepass_ch,prepass_st,prepass_ct,prepass_cu,prepass_fish,prepass_agrinf,postpass,s_co,s_ch,s_st,s_ct,s_cu,s_agri_current,s_roadrail_current,s_inundhab_current,s_building_current,s_publicuse_current,s_agri_future,s_roadrail_future,s_inundhab_future,s_building_future,s_publicuse_future,coho_salmon,chinook_salmon,steelhead,cutthroat_trout,chum,agri_current,roadrail_current,inundhab_current,building_current,publicuse_current,agri_future,roadrail_future,inundhab_future,building_future,publicuse_future,barriertype,name,primarytg,dominanttg,exclude_reason,lon,lat
136ts2,Coos,NA,1,60000,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00120180822242938,0.0102461279819618,0.00118101735861544,0,0,0.00159099634110298,0.00779265403762809,0.00137520644509899,0,0,,,,0,,2.12034678459167,0.0264912564307451,2.12173199653625,,,3.03358197212219,0.0292764287441968,2.59481596946716,,,Tide gate,,1,0,,-124.14045865,43.37491307
13743fs2,Coos,67ts2,1,150000,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Upstream,,0,0,,-124.22828528,43.26945918
137ts2,Coos,NA,1,85000,0,0,0,0,0,0,0,1,0,0,0,0.00554322481182239,0,0.00178008050462211,0,0.00184919568902565,0,0,0.00202187696785024,0,0.00210767982662327,0,0,,,,0.12755898314755,,3.14059090614318,,3.32213377952575,,,3.85514998435974,,3.97688746452331,,,Tide gate,,1,0,,-124.15541926,43.31205772
138ts2,Coos,NA,1,85000,0,0,0,0,0,0,0,1,0,0,0,0.010734151426572,0,0.00113284469460127,0.120330992816614,0.00813718250001393,0.0972972972972973,0.818181818181818,0.00166229239960218,0.120886540681211,0.009439527702151,0.0942622950819672,0.310344827586206,,,,0.247010988622559,,1.99867463111877,0.311114519834518,14.6186847686767,18,9,3.16952347755432,0.45416185259819,17.8110256195068,23,9,Tide gate,,1,0,,-124.19731426,43.34727105
139ts2,Coos,NA,1,150000,0,0,0,0,0,0,0,1,0,0,0,0.0232902858146703,0,0,0,0.00228271699863954,0,0,0,0,0.00336983183592209,0.00819672131147541,0,,,,0.535948888343652,,,,4.10096740722656,,,,,6.35838603973388,2,,Tide gate,,1,0,,-124.22958928,43.26534118
13ts1,Coquille,NA,1,815000,0,0,0,0,0,0,0,1,0.224896693679883,0,0.316263377322068,0.299861153594395,0,0.0375791342866959,0,0.0383660354513905,0,0,0.0471739557845578,0.0126115490929763,0.0454554530238845,0,0,3.36809026748528,,3.67166212564906,6.90031256830396,,66.3007583618164,,68.9256973266601,,,89.9474487304687,0.0473806634545326,85.7678756713867,,,Tide gate,Hatchet Slough,1,0,,-124.2961944,43.15446634
13ts2,Coos,NA,1,85000,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0245388396880618,0,0.0250467867760681,0,0,0.0230790580593126,0.00352252371413275,0.0241943725322458,0.0040983606557377,0,,,,0,,43.2938041687011,,44.9972801208496,,,44.0052642822265,0.0132338628172874,45.6512870788574,1,,Tide gate,,1,0,,-124.14913287,43.3115369
13ts5,Umpqua,NA,1,85000,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0262318367962299,0.80898403211485,0.0257612054861649,1,0.181818181818181,0.0415940520057923,1,0.0370042956252978,1,1,,,,0,,46.2807540893554,2.09161972999572,46.2807540893554,185,2,79.3081436157226,3.75692653656005,69.8217620849609,244,29,Tide gate,,1,0,,-124.10947324,43.70312885
14072fs5,Umpqua,5ts5,1,75000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Upstream,,0,0,Non-primary tide gate,-124.11233235,43.74168822
140ts2,Coos,48ts2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,,0,0,Non-primary,-124.19105319,43.46071668
14158fs2,Coos,15622fs2,1,75000,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Upstream,,0,0,,-124.22803928,43.27066218
141ts2,Coos,48ts2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,,0,0,Non-primary,-124.18934793,43.46003129
142ts2,Coos,NA,1,60000,0,0,0,0,0,0,0,1,0,0,0,0.00504885058063997,0,0.00615630019676717,0.019982254376919,0.00609294021009207,0,0,0.00570910597130431,0.0137516817580264,0.00583658728798849,0,0,,,,0.11618259550953,,10.8615427017211,0.0516639091074466,10.9461441040039,,,10.8856573104858,0.0516640581190586,11.0127973556518,,,Tide gate,,1,0,,-124.20430937,43.45794923
